Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
PME,PRO MEDICUS LTD,Health Care,Equity,7852386.18,0.00543,7852386.18,89347,87.89,Australia,Asx - All Markets,AUD
DHER,DELIVERY HERO,Consumer Discretionary,Equity,7760098.27,0.00537,7760098.27,235183,33,Germany,Xetra,EUR
EMP.A,EMPIRE LTD CLASS A,Consumer Staples,Equity,7692295.76,0.00532,7692295.76,225730,34.08,Canada,Toronto Stock Exchange,CAD
DIM,SARTORIUS STEDIM BIOTECH SA,Health Care,Equity,7567644.28,0.00524,7567644.28,39725,190.5,France,Nyse Euronext - Euronext Paris,EUR
AYV,AYVENS SA,Industrials,Equity,7554759.11,0.00523,7554759.11,564408,13.39,France,Nyse Euronext - Euronext Paris,EUR
IDR,INDRA SISTEMAS SA,Information Technology,Equity,7529822.22,0.00521,7529822.22,127105,59.24,Spain,Bolsa De Madrid,EUR
TUB,FINANCIERE DE TUBIZE SA,Health Care,Equity,7530623.94,0.00521,7530623.94,31855,236.4,Belgium,Nyse Euronext - Euronext Brussels,EUR
DIE,DIETEREN (D) SA,Consumer Discretionary,Equity,7522265.26,0.0052,7522265.26,36886,203.93,Belgium,Nyse Euronext - Euronext Brussels,EUR
6841,YOKOGAWA ELECTRIC CORP,Information Technology,Equity,7506897.47,0.00519,7506897.47,233100,32.2,Japan,Tokyo Stock Exchange,JPY
3003,HULIC LTD,Real Estate,Equity,7459052.39,0.00516,7459052.39,670234,11.13,Japan,Tokyo Stock Exchange,JPY
COH,COCHLEAR LTD,Health Care,Equity,7421923.35,0.00513,7421923.35,107619,68.97,Australia,Asx - All Markets,AUD
9005,TOKYU CORP,Industrials,Equity,7401254.7,0.00512,7401254.7,701091,10.56,Japan,Tokyo Stock Exchange,JPY
9024,SEIBU HOLDINGS INC,Industrials,Equity,7392627.65,0.00511,7392627.65,334700,22.09,Japan,Tokyo Stock Exchange,JPY
